,name,platform,score,total_reviews,main_story,main_extra,avg_playthrough,normalized_score,normalized_reviews,normalized_time,playability_score
365,Mages of Mystralia,pc,74,21,8.26,10.51,9.385,0.7628865979381443,0.17355371900826447,0.010648980772831199,43.56
397,Overcooked! 2,pc,81,7,0.0,0.0,0.0,0.8350515463917526,0.05785123966942149,0.0,43.49
357,BioShock: The Collection,pc,80,9,0.0,0.0,0.0,0.8247422680412371,0.0743801652892562,0.0,43.47
513,World War Z: Aftermath,pc,81,6,7.08,12.94,10.01,0.8350515463917526,0.049586776859504134,0.011358156370382557,43.47
123,Pokemon Snap,nintendo-64,77,15,0.0,0.0,0.0,0.7938144329896907,0.12396694214876033,0.0,43.41
499,Cat Quest,pc,79,10,5.73,8.18,6.955,0.8144329896907216,0.08264462809917356,0.007891706049551517,43.36
425,Rogue Heroes: Ruins of Tasos,pc,81,5,11.33,18.8,15.065000000000001,0.8350515463917526,0.04132231404958678,0.01709396860337795,43.33
306,Iratus: Lord of the Dead,pc,78,11,12.05,19.02,15.535,0.8041237113402062,0.09090909090909091,0.017627268652736568,43.29
350,Iratus: Lord of the Dead,pc,78,11,12.05,19.02,15.535,0.8041237113402062,0.09090909090909091,0.017627268652736568,43.29
407,Watch Dogs 2,pc,75,16,19.12,31.23,25.175,0.7731958762886598,0.1322314049586777,0.028565593069368723,43.2
462,We. The Revolution,pc,75,16,12.13,12.63,12.38,0.7731958762886598,0.1322314049586777,0.01404735023629731,42.91
364,Moving Out,pc,79,8,5.07,8.22,6.6450000000000005,0.8144329896907216,0.06611570247933884,0.007539954953166044,42.86
217,140,pc,80,6,1.16,2.21,1.685,0.8247422680412371,0.049586776859504134,0.0019119374109984627,42.76
390,Mothergunship,pc,72,22,4.57,8.78,6.675,0.7422680412371134,0.18181818181818182,0.007573995381848509,42.72
494,WRC 8 FIA World Rally Championship,pc,77,12,0.0,0.0,0.0,0.7938144329896907,0.09917355371900827,0.0,42.67
468,ScourgeBringer,pc,76,13,9.27,9.83,9.55,0.7835051546391752,0.10743801652892562,0.01083620313058476,42.62
219,Alien Swarm,pc,77,11,3.45,9.04,6.244999999999999,0.7938144329896907,0.09090909090909091,0.007086082570733174,42.56
359,Relicta,pc,74,16,13.94,19.23,16.585,0.7628865979381443,0.1322314049586777,0.018818683656622853,42.49
